,1,1.1,female,38,1.2,0,71.28,C,First
0,1,3,female,26.0,0,0,7.93,S,Third
1,1,1,female,35.0,1,0,53.1,S,First
2,0,3,male,35.0,0,0,8.05,S,Third
3,0,3,male,,0,0,8.46,Q,Third
4,0,1,male,54.0,0,0,51.86,S,First
5,0,3,male,2.0,3,1,21.08,S,Third
6,1,3,female,27.0,0,2,11.13,S,Third
7,1,2,female,14.0,1,0,30.07,C,Second
8,1,3,female,4.0,1,1,16.7,S,Third
9,1,1,female,58.0,0,0,26.55,S,First
10,0,3,male,20.0,0,0,8.05,S,Third
11,0,3,male,39.0,1,5,31.28,S,Third
12,0,3,female,14.0,0,0,7.85,S,Third
13,1,2,female,55.0,0,0,16.0,S,Second
14,0,3,male,2.0,4,1,29.13,Q,Third
15,1,2,male,,0,0,13.0,S,Second
16,0,3,female,31.0,1,0,18.0,S,Third
17,1,3,female,,0,0,7.23,C,Third
18,0,2,male,35.0,0,0,26.0,S,Second
